,Basket_Id,Customer_Id,Product_Id,Sales,Qty,Sales_by_Quantity,Mean_Basket_Id,Mean_Customer_Id,Mean_Product_Id
1,-325.0,-263.0,-179.0,-7349.910000002157,-2038.0,-0.07685235535848456,1.022858328260721,0.8758288209398373,-1.0118265166600757
2,226.0,167.0,-77.0,8254.740000002581,3707.0,-0.026434888383742194,0.5195205942428487,1.093864395041777,3.2834976012282766
3,6.0,34.0,21.0,974.9899999991321,-1332.0,0.136562557835318,0.31448684166087304,-0.12214037698434055,0.1421141020734744
4,-80.0,-63.0,81.0,-996.7999999995372,-657.0,0.02283761744356605,0.6325841594295589,0.6126712133917778,-0.9837957852959285
5,402.0,441.0,-49.0,15184.660000003889,5451.0,0.03005798590220099,0.7856160321999752,-0.44054343084649616,5.303384408604909
6,54.0,-68.0,6.0,907.1699999987904,-1474.0,0.1395802675361555,-0.30457103775585637,1.364482728967495,0.2343078881864784
7,220.0,147.0,259.0,9671.220000004789,6599.0,-0.20938715861048163,0.7970168395712491,1.5567027278329988,0.5346085578537654
8,-680.0,-521.0,-76.0,-21536.0800000062,-7365.0,-0.08263834138349324,0.5226731422370321,-0.46172455841805515,-5.845321204441369
9,90.0,92.0,-169.0,3361.7500000017026,2430.0,-0.07348767785050692,0.1183762184952073,-0.10276316648743489,2.442469803362819
10,-35.0,-52.0,-72.0,-969.2200000023149,-2437.0,0.1456675594842416,0.0916605023850181,0.48957805679387434,0.3333557834128449
11,546.0,584.0,211.0,22343.820000005042,8128.0,0.04112046210242548,1.2040924743166812,-0.24108314854563417,5.062214736041881
12,-1018.0,-954.0,-217.0,-35061.54000000747,-14214.0,0.05904251064231447,0.5213307685668411,1.2828153612119024,-9.197461398487572
13,-247.0,-181.0,-269.0,-10474.210000000778,-4351.0,0.04395206526587492,-0.903208865209649,-1.9713746178568385,-1.4780833955746608
14,384.0,314.0,487.0,17204.32000000251,7776.0,-0.11909996298783643,1.744597579347527,2.6777799710700876,1.9560960970679346
15,-201.0,-160.0,-43.0,-6710.160000001735,-1503.0,-0.09775138564700603,0.3573692822517458,-0.07302004716121502,-1.7659881642922457
16,68.0,38.0,-168.0,2784.4500000010885,1771.0,-0.05108409011873061,0.12748692518952254,0.6826533353038329,2.155242376203656
17,-586.0,-473.0,-297.0,-20779.240000001242,-9934.0,0.15256433940116532,0.7654987432056899,-0.7824370700887755,-4.90751701318224
